,01234,2001,50131,a11,account,akademik,bca,bidang,bisnis,budaya,butuh,capa,daring,dian,dir,dokumen,dukung,fakultas,fisik,global,ilmu,imam,indeks,infrastruktur,internet,isi,istimewa,jal,jateng,knik,komitmen,kota,krs,lajar,lanta,lembaga,ller,lombok,lor,lurah,mahasiswa,maju,mampu,mandir,manusia,mbayar,mgg,milih,milik,mis,muat,muka,muncul,naga,nasional,ngalam,nghadir,nim,ningkat,nit,njelas,nomor,nugas,nus,open,otomatis,penting,perkenan,perlu,peroleh,peserta,porno,prestas,proses,rancang,rapih,rdir,reguler,rkembang,rperila,rpustaka,salah,sehat,semarang,siswa,situs,sks,sumber,swasta,tagih,tantang,tas,timur,tugas,udinus,upt,utama,virtual,vis,wirausaha
faq_daftar_udinus,0.0,0.0,0.0877058019307029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631174057921087,0.0,0.2631174057921087,0.0,0.0,0.0,0.0,0.0,0.0,0.0877058019307029,0.0,0.0,0.0,0.0,0.0,0.1754116038614058,0.0,0.0,0.0,0.2631174057921087,0.0,0.0,0.1754116038614058,0.0,0.0,0.0877058019307029,0.0877058019307029,0.0877058019307029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631174057921087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631174057921087,0.0,0.0877058019307029,0.0,0.0,0.0,0.0,0.0,0.0,0.0877058019307029,0.0,0.3508232077228116,0.0,0.0,0.0,0.0,0.0
faq_keuangan,0.0414157683281291,0.0,0.0,0.0414157683281291,0.0828315366562582,0.0,0.1242473049843873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414157683281291,0.0,0.0,0.0,0.1242473049843873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1242473049843873,0.0,0.0,0.0,0.1656630733125164,0.0,0.0,0.0,0.0,0.4141576832812911,0.0,0.0,0.0,0.0,0.0,0.0,0.1656630733125164,0.0,0.0,0.0,0.0,0.0414157683281291,0.0,0.0,0.0,0.2899103782969038,0.0,0.0,0.0414157683281291,0.0414157683281291,0.0,0.0,0.0414157683281291,0.0414157683281291,0.0414157683281291,0.0,0.0,0.0,0.0,0.0,0.0,0.0414157683281291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414157683281291,0.0,0.0,0.2070788416406455,0.0,0.0,0.0,0.0414157683281291,0.0828315366562582,0.0,0.0,0.0828315366562582,0.0,0.0
faq_krs,0.0,0.0,0.0,0.0,0.0,0.1767766952966369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1767766952966369,0.0,0.0,0.1767766952966369,0.0,0.0,0.0,0.0,0.0,0.0,0.1767766952966369,0.0,0.0,0.0,0.0,0.0,0.0,0.5303300858899108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1767766952966369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1767766952966369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1767766952966369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1767766952966369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
faq_udinus_profil,0.0,0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1767766952966369,0.0,0.0,0.0,0.0,0.0,0.0,0.1767766952966369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1767766952966369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1767766952966369,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,0.0,0.0,0.0,0.0,0.0
kurikulum_teknik_informatika,0.0,0.0,0.0,0.0,0.0,0.0848188929679971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0848188929679971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0848188929679971,0.0,0.0,0.0,0.0,0.0,0.0,0.2544566789039914,0.0,0.0,0.0848188929679971,0.0,0.0,0.2544566789039914,0.0848188929679971,0.0,0.0,0.0,0.0848188929679971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2544566789039914,0.0,0.0,0.0848188929679971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0848188929679971,0.0848188929679971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5937322507759798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
profil_ekonomi&bisnis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1622214211307625,0.4866642633922877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4866642633922877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1622214211307625,0.0,0.1622214211307625,0.0,0.0,0.0,0.0,0.0,0.1622214211307625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1622214211307625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1622214211307625,0.0,0.0,0.0,0.0,0.0,0.1622214211307625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
profil_fib,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2236067977499789,0.0,0.0,0.4472135954999578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2236067977499789,0.0,0.0,0.0,0.0,0.0,0.2236067977499789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2236067977499789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
profil_fk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1195228609334393,0.0,0.0,0.1195228609334393,0.0,0.0,0.1195228609334393,0.0,0.0,0.0,0.3585685828003181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1195228609334393,0.0,0.0,0.0,0.0,0.1195228609334393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1195228609334393,0.0,0.0,0.0,0.0,0.1195228609334393,0.0,0.1195228609334393,0.1195228609334393,0.0,0.1195228609334393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1195228609334393,0.0,0.0,0.0,0.4780914437337575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
profil_fkes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1740776559556978,0.0,0.0,0.0,0.0,0.0,0.1740776559556978,0.0,0.0,0.1740776559556978,0.3481553119113956,0.0,0.0,0.1740776559556978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1740776559556978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1740776559556978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5222329678670935,0.0,0.0,0.0,0.0,0.1740776559556978,0.0,0.0,0.0,0.0,0.0,0.0,0.1740776559556978,0.0,0.0,0.0,0.1740776559556978,0.1740776559556978
profil_ilkom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1601281538050872,0.0,0.1601281538050872,0.0,0.0,0.0,0.4803844614152615,0.0,0.0,0.1601281538050872,0.0,0.0,0.1601281538050872,0.0,0.0,0.1601281538050872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1601281538050872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1601281538050872,0.0,0.1601281538050872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1601281538050872,0.0,0.0,0.1601281538050872
profil_teknik,0.0,0.0,0.0,0.0,0.0,0.2132007163556105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2132007163556105,0.0,0.2132007163556105,0.2132007163556105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2132007163556105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2132007163556105,0.0,0.0,0.2132007163556105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2132007163556105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tatatertib_berkunjung_upt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0839181358296689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2517544074890067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0839181358296689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0839181358296689,0.0,0.0,0.0,0.0839181358296689,0.0,0.0,0.0,0.0839181358296689,0.0,0.0,0.0,0.0839181358296689,0.5035088149780135,0.0,0.0,0.0839181358296689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0839181358296689,0.0,0.0,0.2517544074890067,0.0839181358296689,0.0,0.0,0.0,0.0
